Citation	DOI	Nodes	Study_id	Study_link
Alström, P., Rasmussen, P. C., Xia, C., Zhang, L., Liu, C., Magnusson, J., Shafaeipour, A., & Olsson, U. (2021). Morphology, vocalizations, and mitochondrial DNA suggest that the Graceful Prinia is two species. Ornithology, 138(2). https://doi.org/10.1093/ornithology/ukab014	http://dx.doi.org/10.1093/ornithology/ukab014	1	ot_2193	https://tree.opentreeoflife.org/curator/study/view/ot_2193
Alström, P., Rasmussen, P. C., Zhao, C., Xu, J., Dalvi, S., Cai, T., Guan, Y., Zhang, R., Kalyakin, M. V., Lei, F., & Olsson, U. (2016). Integrative taxonomy of the Plain-backed Thrush (Zoothera mollissima) complex (Aves, Turdidae) reveals cryptic species, including a new species. Avian Research, 7(1). https://doi.org/10.1186/s40657-016-0037-2	http://dx.doi.org/10.1186/s40657-016-0037-2	1	ot_2220	https://tree.opentreeoflife.org/curator/study/view/ot_2220
Alström, Per, Keith N. Barnes, Urban Olsson, F. Keith Barker, Paulette Bloomer, Aleem Ahmed Khan, Masood Ahmed Qureshi, Alban Guillaumet, Pierre-André Crochet, Peter G. Ryan. 2013. Multilocus phylogeny of the avian family Alaudidae (larks) reveals complex morphological evolution, non-monophyletic genera and hidden species diversity. Molecular Phylogenetics and Evolution 69 (3): 1043-1056.	http://dx.doi.org/10.1016/j.ympev.2013.06.005	58	pg_2599	https://tree.opentreeoflife.org/curator/study/view/pg_2599
Andersen, M. J., McCullough, J. M., Friedman, N. R., Peterson, A. T., Moyle, R. G., Joseph, L., & Nyári, Á. S. (2019). Ultraconserved elements resolve genus-level relationships in a major Australasian bird radiation (Aves: Meliphagidae). Emu - Austral Ornithology, 119(3), 218–232. https://doi.org/10.1080/01584197.2019.1595662	http://dx.doi.org/10.1080/01584197.2019.1595662	39	ot_2156	https://tree.opentreeoflife.org/curator/study/view/ot_2156
Arbabi, Tayebeh, Javier Gonzalez, Michael Wink. 2014. A re-evaluation of phylogenetic relationships within reed warblers (Aves: Acrocephalidae) based on eight molecular loci and ISSR profiles. Molecular Phylogenetics and Evolution 78: 304-313.	http://dx.doi.org/10.1016/j.ympev.2014.05.026	29	ot_103	https://tree.opentreeoflife.org/curator/study/view/ot_103
Armenta, Jessica K., Jason D. Weckstein, Daniel F. Lane. 2005. Geographic variation in mitochondrial DNA sequences of an Amazonian nonpasserine: The Black-spotted Barbet complex. The Condor 107 (3): 527-536.	http://dx.doi.org/10.1650/0010-5422(2005)107[0527:gvimds]2.0.co;2	7	ot_151	https://tree.opentreeoflife.org/curator/study/view/ot_151
Arshad, Muhammad, Javier Gonzalez, Abdel Aziz El-Sayed, Tim Osborne, Michael Wink. 2009. Phylogeny and phylogeography of critically endangered Gyps species based on nuclear and mitochondrial markers. Journal of Ornithology 150 (2): 419-430.	http://dx.doi.org/10.1007/s10336-008-0359-x	2	pg_2857	https://tree.opentreeoflife.org/curator/study/view/pg_2857
Baker, Allan J., Sergio L Pereira, Tara A Paton. 2007. Phylogenetic relationships and divergence times of Charadriiformes genera: multigene evidence for the Cretaceous origin of at least 14 clades of shorebirds. Biology. Letters 3 (2): 205-210.	https://doi.org/10.1098/rsbl.2006.0606	0	ot_146	https://tree.opentreeoflife.org/curator/study/view/ot_146
Barker, F. K., K. J. Burns, J. Klicka, S. M. Lanyon, I. J. Lovette. 2013. Going to extremes: contrasting rates of diversification in a recent radiation of New World passerine birds. Systematic Biology 62 (2): 298-320.	http://dx.doi.org/10.1093/sysbio/sys094	114	pg_2575	https://tree.opentreeoflife.org/curator/study/view/pg_2575
Barker, F. Keith, Alice Cibois, Peter Schikler, Julie Feinstein, Joel Cracraft. 2004. Phylogeny and diversification of the largest avian radiation. Proceedings of the National Academy of Sciences of the United States of America 101 (30): 11040-11045.	http://dx.doi.org/10.1073/pnas.0401892101	67	pg_2404	https://tree.opentreeoflife.org/curator/study/view/pg_2404
Barker, F. Keith, Kevin J. Burns, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2015. New insights into New World biogeography: An integrated view from the phylogeny of blackbirds, cardinals, sparrows, tanagers, warblers, and allies. The Auk 132 (2): 333-348.	http://dx.doi.org/10.1642/auk-14-110.1	721	ot_770	https://tree.opentreeoflife.org/curator/study/view/ot_770
Barker, F.K. 2014. Mitogenomic data resolve basal relationships among passeriform and passeridan birds. Molecular Phylogenetics and Evolution 79: 313-324.	http://dx.doi.org/10.1016/j.ympev.2014.06.011	65	ot_412	https://tree.opentreeoflife.org/curator/study/view/ot_412
Batista, R., Olsson, U., Andermann, T., Aleixo, A., Ribas, C. C., & Antonelli, A. (2020). Phylogenomics and biogeography of the world’s thrushes (Aves,	http://dx.doi.org/10.1098/rspb.2019.2400	48	ot_2159	https://tree.opentreeoflife.org/curator/study/view/ot_2159
Benz, Brett W., Mark B. Robbins, A. Townsend Peterson. 2006. Evolutionary history of woodpeckers and allies (Aves: Picidae): placing key taxa on the phylogenetic tree. Molecular Phylogenetics and Evolution 40 (2): 389-399.	http://dx.doi.org/10.1016/j.ympev.2006.02.021	29	ot_159	https://tree.opentreeoflife.org/curator/study/view/ot_159
Benz, Brett W., Mark B. Robbins. 2011. Molecular phylogenetics, vocalizations, and species limits in Celeus woodpeckers (Aves: Picidae). Molecular Phylogenetics and Evolution 61 (1): 29-44.	http://dx.doi.org/10.1016/j.ympev.2011.05.001	7	ot_157	https://tree.opentreeoflife.org/curator/study/view/ot_157
Beresford, P., F.K. Barker, P.G. Ryan, T.M. Crowe. 2005. African endemics span the tree of songbirds (Passeri): molecular systematics of several evolutionary 'enigmas'. Proceedings of the Royal Society B: Biological Sciences 272 (1565): 849-858	http://dx.doi.org/10.1098/rspb.2004.2997	52	ot_782	https://tree.opentreeoflife.org/curator/study/view/ot_782
Bertelli, Sara, Ana Luz Porzecanski. 2004. Tinamou (Tinamidae) systematics: a preliminary combined analysis of morphology and molecules. 2004. Ornithologia Neotropical 15: 293-299	https://sora.unm.edu/sites/default/files/journals/on/v015s/p0293-p0300.pdf	39	pg_2876	https://tree.opentreeoflife.org/curator/study/view/pg_2876
Besnard, Guillaume, Joris A. M. Bertrand, Boris Delahaie, Yann X. C. Bourgeois, Emeline Lhuillier, Christophe Thébaud. 2015. Valuing museum specimens: high-throughput DNA sequencing on historical collections of New Guinea crowned pigeons (Goura). Biological Journal of the Linnean Society 117 (1): 71-82	http://dx.doi.org/10.1111/bij.12494	15	ot_655	https://tree.opentreeoflife.org/curator/study/view/ot_655
Blechschmidt, Karin, Hans-Ulrich Peter, Jacobus De Korte, Michael Wink, Ingrid Seibold, Andreas J. Helbig. 1993. Investigations on the molecular systematics of skuas (Stercorariidae). Zool. Jb. Syst. 120: 379-387.	http://www.uni-heidelberg.de/institute/fak14/ipmb/phazb/pubwink/1993/1.%201993.pdf	5	ot_873	https://tree.opentreeoflife.org/curator/study/view/ot_873
Boertmann, D. 1990. Phylogeny of the divers, family Gaviidae (Aves). Steenstrupia 16: 21-36.	https://www.researchgate.net/profile/David-Boertmann/publication/258846478_Phylogeny_of_the_divers_family_Gaviidae_Aves/links/55f6645e08ae7a10cf8b92a8/Phylogeny-of-the-divers-family-Gaviidae-Aves.pdf	3	ot_104	https://tree.opentreeoflife.org/curator/study/view/ot_104
Bonaccorso, Elisa, Juan M. Guayasamin, A. Townsend Peterson, Adolfo G. Navarro-Sigüenza. 2011. Molecular phylogeny and systematics of Neotropical toucanets in the genus Aulacorhynchus (Aves, Ramphastidae). Zoologica Scripta 40 (4): 336-349.	http://dx.doi.org/10.1111/j.1463-6409.2011.00475.x	4	ot_155	https://tree.opentreeoflife.org/curator/study/view/ot_155
Brian Tilston Smith, Robert W. Bryson, William M. Mauck, Jaime Chaves, Mark B. Robbins, Alexandre Aleixo, John Klicka, 2018, 'Species delimitation and biogeography of the gnatcatchers and gnatwrens (Aves: Polioptilidae)', Molecular Phylogenetics and Evolution, vol. 126, pp. 45-57	http://dx.doi.org/10.1016/j.ympev.2018.03.012	16	ot_1286	https://tree.opentreeoflife.org/curator/study/view/ot_1286
Bridge, E. S., Jones, A. W., & Baker, A. J. (2005). A phylogenetic framework for the terns (Sternini) inferred from mtDNA sequences: implications for taxonomy and plumage evolution. Molecular Phylogenetics and Evolution, 35(2), 459–469. doi:10.1016/j.ympev.2004.12.010	http://dx.doi.org/10.1016/j.ympev.2004.12.010	28	ot_1997	https://tree.opentreeoflife.org/curator/study/view/ot_1997
Brumfield, R., & Edwards S. 2007. Evolution into and out of the Andes: a Bayesian analysis of historical diversification in Thamnophilus antshrikes. Evolution 61 (2): 346-367.	http://dx.doi.org/10.1111/j.1558-5646.2007.00039.x	17	pg_2454	https://tree.opentreeoflife.org/curator/study/view/pg_2454
Bruxaux, J., Gabrielli, M., Ashari, H., Prŷs-Jones, R., Joseph, L., Milá, B., Besnard, G., & Thébaud, C. (2018). Recovering the evolutionary history of crowned pigeons (Columbidae: Goura): Implications for the biogeography and conservation of New Guinean lowland birds. Molecular Phylogenetics and Evolution, 120, 248–258. https://doi.org/10.1016/j.ympev.2017.11.022	http://dx.doi.org/10.1016/j.ympev.2017.11.022	4	ot_2184	https://tree.opentreeoflife.org/curator/study/view/ot_2184
Bryson, R. W., Faircloth, B. C., Tsai, W. L. E., McCormack, J. E., & Klicka, J. (2016). Target enrichment of thousands of ultraconserved elements sheds new light on early relationships within New World sparrows (Aves: Passerellidae). The Auk, 133(3), 451–458. https://doi.org/10.1642/auk-16-26.1	http://dx.doi.org/10.1642/auk-16-26.1	16	ot_2084	https://tree.opentreeoflife.org/curator/study/view/ot_2084
Buainain, N., Ferreira, M., Avendaño, J. E., Cadena, C. D., Faircloth, B. C., Brumfield, R. T., Cracraft, J., & Ribas, C. C. (2022). Biogeography of a neotropical songbird radiation reveals similar diversification dynamics between montane and lowland clades. Journal of Biogeography. Portico. https://doi.org/10.1111/jbi.14379	http://dx.doi.org/10.1111/jbi.14379	15	ot_2091	https://tree.opentreeoflife.org/curator/study/view/ot_2091
Burleigh, J. Gordon, Rebecca T. Kimball, Edward L. Braun. 2015. Building the avian tree of life using a large-scale, sparse supermatrix. Molecular Phylogenetics and Evolution 84: 53-63	http://dx.doi.org/10.1016/j.ympev.2014.12.003	3913	ot_521	https://tree.opentreeoflife.org/curator/study/view/ot_521
Burns, Kevin J., Allison J. Shultz, Pascal O. Title, Nicholas A. Mason, F. Keith Barker, John Klicka, Scott M. Lanyon, Irby J. Lovette. 2014. Phylogenetics and diversification of tanagers (Passeriformes: Thraupidae), the largest radiation of Neotropical songbirds. Molecular Phylogenetics and Evolution 75: 41-77.	http://dx.doi.org/10.1016/j.ympev.2014.02.006	316	pg_2829	https://tree.opentreeoflife.org/curator/study/view/pg_2829
Cai, T., Cibois, A., Alström, P., Moyle, R. G., Kennedy, J. D., Shao, S., Zhang, R., Irestedt, M., Ericson, P. G. P., Gelang, M., Qu, Y., Lei, F., & Fjeldså, J. (2019). Near-complete phylogeny and taxonomic revision of the world’s babblers (Aves: Passeriformes). Molecular Phylogenetics and Evolution, 130, 346–356. https://doi.org/10.1016/j.ympev.2018.10.010	http://dx.doi.org/10.1016/j.ympev.2018.10.010	446	ot_2179	https://tree.opentreeoflife.org/curator/study/view/ot_2179
Cai, T., Wu, G., Sun, L., Zhang, Y., Peng, Z., Guo, Y., Liu, X., Pan, T., Chang, J., Sun, Z., & Zhang, B. (2021). Biogeography and diversification of Old World buntings (Aves: Emberizidae): radiation in open habitats. Journal of Avian Biology, 52(6). Portico. https://doi.org/10.1111/jav.02672	http://dx.doi.org/10.1111/jav.02672	44	ot_2082	https://tree.opentreeoflife.org/curator/study/view/ot_2082
Campillo, L. C., Oliveros, C. H., Sheldon, F. H., & Moyle, R. G. (2018). Genomic data resolve gene tree discordance in spiderhunters (Nectariniidae, Arachnothera). Molecular Phylogenetics and Evolution, 120, 151–157. https://doi.org/10.1016/j.ympev.2017.12.011	http://dx.doi.org/10.1016/j.ympev.2017.12.011	14	ot_2173	https://tree.opentreeoflife.org/curator/study/view/ot_2173
Cerasale, David J., Roi Dor, David W. Winkler, Irby J. Lovette. 2012. Phylogeny of the Tachycineta genus of New World swallows: insights from complete mitochondrial genomes. Molecular Phylogenetics and Evolution 63 (1): 64-71.	http://dx.doi.org/10.1016/j.ympev.2011.12.014	7	ot_176	https://tree.opentreeoflife.org/curator/study/view/ot_176
Černý, D., & Natale, R. (2022). Comprehensive taxon sampling and vetted fossils help clarify the time tree of shorebirds (Aves, Charadriiformes). Molecular Phylogenetics and Evolution, 177, 107620. https://doi.org/10.1016/j.ympev.2022.107620	http://dx.doi.org/10.1016/j.ympev.2022.107620	332	ot_2141	https://tree.opentreeoflife.org/curator/study/view/ot_2141
Chambers, GK, Moeke, C, Steel, R, Trueman, JWH. 2009. Phylogenetic analysis of the 24 named albatross taxa based on full mitochondrial cytochrome b DNA sequences. Notornis 56 (2): 82-94.	http://notornis.osnz.org.nz/phylogenetic-analysis-24-named-albatross-taxa-based-full-mitochondrial-cytochrome-b-dna-sequences	12	ot_142	https://tree.opentreeoflife.org/curator/study/view/ot_142
Chaves, Jaime A., José R. Hidalgo, John Klicka. 2013. Biogeography and evolutionary history of the Neotropical genus Saltator (Aves: Thraupini). Journal of Biogeography 40 (11): 2180-2190.	http://dx.doi.org/10.1111/jbi.12150	9	ot_101	https://tree.opentreeoflife.org/curator/study/view/ot_101
Chen, D., Hosner, P. A., Dittmann, D. L., O’Neill, J. P., Birks, S. M., Braun, E. L., & Kimball, R. T. (2021). Divergence time estimation of Galliformes based on the best gene shopping scheme of ultraconserved elements. BMC Ecology and Evolution, 21(1). https://doi.org/10.1186/s12862-021-01935-1	http://dx.doi.org/10.1186/s12862-021-01935-1	118	ot_2072	https://tree.opentreeoflife.org/curator/study/view/ot_2072
Chesser, R. Terry, Carol K. L. Yeung, Cheng-Te Yao, Xiu-Hua Tian, Shou-Hsien Li. 2010. Molecular phylogeny of the spoonbills (Aves: Threskiornithidae) based on mitochondrial DNA. Zootaxa 2603: 53-60.	http://www.mapress.com/zootaxa/2010/f/z02603p060f.pdf	4	pg_2864	https://tree.opentreeoflife.org/curator/study/view/pg_2864
Cibois, Alice, Jean-Claude Thibault, Céline Bonillo, Christopher E. Filardi, Dick Watling, Eric Pasquet. 2014. Phylogeny and biogeography of the fruit doves (Aves: Columbidae). Molecular Phylogenetics and Evolution 70: 442-453.	http://dx.doi.org/10.1016/j.ympev.2013.08.019	26	pg_2850	https://tree.opentreeoflife.org/curator/study/view/pg_2850
Cicero, C., Mason, N. A., Benedict, L., & Rising, J. D. (2020). Behavioral, morphological, and ecological trait evolution in two clades of New World Sparrows (AimophilaandPeucaea, Passerellidae). PeerJ, 8, e9249. Portico. https://doi.org/10.7717/peerj.9249	http://dx.doi.org/10.7717/peerj.9249	34	ot_2152	https://tree.opentreeoflife.org/curator/study/view/ot_2152
Claramunt, Santiago, Joel Cracraft. 2015. A new time tree reveals Earth historys imprint on the evolution of modern birds. Science Advances 1 (11): e1501005-e1501005	http://dx.doi.org/10.1126/sciadv.1501005	138	ot_531	https://tree.opentreeoflife.org/curator/study/view/ot_531
Corl, Ammon, Hans Ellegren. 2013. Sampling strategies for species trees: The effects on phylogenetic inference of the number of genes, number of individuals, and whether loci are mitochondrial, sex-linked, or autosomal. Molecular Phylogenetics and Evolution 67 (2): 358-366	http://dx.doi.org/10.1016/j.ympev.2013.02.002	1	pg_2371	https://tree.opentreeoflife.org/curator/study/view/pg_2371
Dantas, Sidnei M., Jason D. Weckstein, John M. Bates, Niels K. Krabbe, Carlos Daniel Cadena, Mark B. Robbins, Eugenio Valderrama, Alexandre Aleixo. 2016. Molecular systematics of the new world screech-owls (Megascops: Aves, Strigidae): biogeographic and taxonomic implications. Molecular Phylogenetics and Evolution 94: 626-634	http://dx.doi.org/10.1016/j.ympev.2015.09.025	17	ot_533	https://tree.opentreeoflife.org/curator/study/view/ot_533
De Silva, T. N., Peterson, A. T., & Perktas, U. (2019). An extensive molecular phylogeny of weaverbirds (Aves: Ploceidae) unveils broad nonmonophyly of traditional genera and new relationships. The Auk, 136(3). https://doi.org/10.1093/auk/ukz041	http://dx.doi.org/10.1093/auk/ukz041	106	ot_2172	https://tree.opentreeoflife.org/curator/study/view/ot_2172
den Tex, Robert-Jan, Jennifer A. Leonard. 2013. A molecular phylogeny of Asian barbets: speciation and extinction in the tropics. Molecular Phylogenetics and Evolution 68 (1): 1-13.	http://dx.doi.org/10.1016/j.ympev.2013.03.004	30	ot_150	https://tree.opentreeoflife.org/curator/study/view/ot_150
Derryberry, E.P., Claramunt S., Derryberry G.E., Chesser R.T., Cracraft J., Aleixo A., Perez-eman J., Remsen J., and Brumfield R. 2011. Lineage diversification and morphological evolution in a large-scale continental radiation: the Neotropical ovenbirds and woodcreepers (Aves: Furnariidae). Evolution 65 (10): 2973-2986.	http://dx.doi.org/10.1111/j.1558-5646.2011.01374.x	196	pg_1953	https://tree.opentreeoflife.org/curator/study/view/pg_1953
Donne-Goussé, Carole, Vincent Laudet, Catherine Hänni. 2002. A molecular phylogeny of anseriformes based on mitochondrial DNA analysis. Molecular Phylogenetics and Evolution 23 (3): 339-356	http://dx.doi.org/10.1016/s1055-7903(02)00019-2	13	ot_1022	https://tree.opentreeoflife.org/curator/study/view/ot_1022
Dor, Roi, Rebecca J. Safran, Frederick H. Sheldon, David W. Winkler, Irby J. Lovette. 2010. Phylogeny of the genus Hirundo and the Barn Swallow subspecies complex. Molecular Phylogenetics and Evolution 56 (1): 409-418.	http://dx.doi.org/10.1016/j.ympev.2010.02.008	12	ot_177	https://tree.opentreeoflife.org/curator/study/view/ot_177
Dos Remedios, Natalie, Patricia L.M. Lee, Terry Burke, Tamás Székely, Clemens Küpper. 2015. North or south? Phylogenetic and biogeographic origins of a globally distributed avian clade. Molecular Phylogenetics and Evolution 89:151-159.	http://dx.doi.org/10.1016/j.ympev.2015.04.010	21	ot_289	https://tree.opentreeoflife.org/curator/study/view/ot_289
Dufort, Matthew J. 2015. An augmented supermatrix phylogeny of the avian family Picidae reveals uncertainty deep in the family tree. Molecular Phylogenetics and Evolution	http://dx.doi.org/10.1016/j.ympev.2015.08.025	127	ot_504	https://tree.opentreeoflife.org/curator/study/view/ot_504
Dumbacher, J. P., Deiner, K., Thompson, L., & Fleischer, R. C. (2008). Phylogeny of the avian genus Pitohui and the evolution of toxicity in birds. Molecular Phylogenetics and Evolution, 49(3), 774-781.	http://dx.doi.org/10.1016/j.ympev.2008.09.018	4	ot_869	https://tree.opentreeoflife.org/curator/study/view/ot_869
Dumbacher, J., Pratt, T.K., Fleischer, R.C. 2003. Phylogeny of the owlet-nightjars (Aves: Aegothelidae) based on mitochondrial DNA sequence. Molecular Phylogenetics and Evolution 29 (3): 540-549.	http://dx.doi.org/10.1016/s1055-7903(03)00135-0	4	ot_123	https://tree.opentreeoflife.org/curator/study/view/ot_123
eBird Taxonomy draft, 2021	https://ebird.org/science/use-ebird-data/the-ebird-taxonomy	12	ot_2019	https://tree.opentreeoflife.org/curator/study/view/ot_2019
Scholes, Edwin III, 2008, 'Evolution of the courtship phenotype in the bird of paradise genus Parotia (Aves: Paradisaeidae): homology, phylogeny, and modularity', Biological Journal of the Linnean Society, vol. 94, no. 3, pp. 491-504	https://doi.org/10.1111/j.1095-8312.2008.01012.x	0	ot_823	https://tree.opentreeoflife.org/curator/study/view/ot_823
Ericson, P. G. P., Irestedt, M., Nylander, J. A. A., Christidis, L., Joseph, L., & Qu, Y. (2020). Parallel Evolution of Bower-Building Behavior in Two Groups of Bowerbirds Suggested by Phylogenomics. Systematic Biology, 69(5), 820–829. https://doi.org/10.1093/sysbio/syaa040	http://dx.doi.org/10.1093/sysbio/syaa040	19	ot_2104	https://tree.opentreeoflife.org/curator/study/view/ot_2104
Ericson, Per GP, Seraina Klopfstein, Martin Irestedt, Jacqueline MT Nguyen and Johan AA Nylander. 2014. Dating the diversification of the major lineages of Passeriformes (Aves). BMC Evolutionary Biology, 14(8).	http://dx.doi.org/10.1186/1471-2148-14-8	23	ot_757	https://tree.opentreeoflife.org/curator/study/view/ot_757
Fain, M., Krajewski C., & Houde P. 2007. Phylogeny of core Gruiformes (Aves: Grues) and resolution of the Limpkin-Sungrebe problem. Molecular Phylogenetics and Evolution 43 (2): 515-529.	http://dx.doi.org/10.1016/j.ympev.2007.02.015	12	pg_1872	https://tree.opentreeoflife.org/curator/study/view/pg_1872
Friederike Woog, Michael Wink, Eskandar Rastegar-Pouyani, Javier Gonzalez, Barbara Helm, 2008, 'Distinct taxonomic position of the Madagascar stonechat (Saxicola torquatus sibilla) revealed by nucleotide sequences of mitochondrial DNA', Journal of Ornithology, vol. 149, no. 3, pp. 423-430	http://dx.doi.org/10.1007/s10336-008-0290-1	1	ot_822	https://tree.opentreeoflife.org/curator/study/view/ot_822
Fuchs, J., Johnson, J. A., & Mindell, D. P. (2015). Rapid diversification of falcons (Aves: Falconidae) due to expansion of open habitats in the Late Miocene. Molecular Phylogenetics and Evolution, 82, 166–182. https://doi.org/10.1016/j.ympev.2014.08.010	http://dx.doi.org/10.1016/j.ympev.2014.08.010	61	ot_2090	https://tree.opentreeoflife.org/curator/study/view/ot_2090
Fuchs, Jérôme, Jan I. Ohlson, Per G. P. Ericson, Eric Pasquet. 2007. Synchronous intercontinental splits between assemblages of woodpeckers suggested by molecular data. Zoologica Scripta 36 (1): 11-25	http://dx.doi.org/10.1111/j.1463-6409.2006.00267.x	30	ot_794	https://tree.opentreeoflife.org/curator/study/view/ot_794
Fuchs, Jérôme, Jeff A. Johnson, David P. Mindell. 2012. Molecular systematics of the caracaras and allies (Falconidae: Polyborinae) inferred from mitochondrial and nuclear sequence data. Ibis 154 (3): 520-532.	http://dx.doi.org/10.1111/j.1474-919X.2012.01222.x	14	pg_2871	https://tree.opentreeoflife.org/curator/study/view/pg_2871
Fuchs, Jérôme, Steven Chen, Jeff A. Johnson, David P. Mindell. 2011. Pliocene diversification within the South American forest falcons (Falconidae: Micrastur). Molecular Phylogenetics and Evolution 60 (3): 398-407.	http://dx.doi.org/10.1016/j.ympev.2011.05.008	9	pg_2870	https://tree.opentreeoflife.org/curator/study/view/pg_2870
Fulton, T. L., B. Letts, B. Shapiro. 2012. Multiple losses of flight and recent speciation in steamer ducks. Proceedings of the Royal Society B: Biological Sciences 279 (1737): 2339-2346.	http://dx.doi.org/10.1098/rspb.2011.2599	80	pg_2860	https://tree.opentreeoflife.org/curator/study/view/pg_2860
García-Deras, Gabriela M., Nandadevi Cortés-Rodríguez, Magali Honey, Adolfo G. Navarro-sigüenza, Jaime García-Moreno, Blanca E. Hernández-Baños. 2008. Phylogenetic relationships within the genus Cynanthus (Aves: Trochilidae), with emphasis on C. doubledayi. Zootaxa 1742: 61-68.	http://www.mapress.com/zootaxa/2008/f/zt01742p068.pdf	0	pg_2865	https://tree.opentreeoflife.org/curator/study/view/pg_2865
Garcia-R, J. C., Lemmon, E. M., Lemmon, A. R., & French, N. (2020). Phylogenomic Reconstruction Sheds Light on New Relationships and Timescale of Rails (Aves: Rallidae) Evolution. Diversity, 12(2), 70. https://doi.org/10.3390/d12020070	http://dx.doi.org/10.3390/d12020070	41	ot_2160	https://tree.opentreeoflife.org/curator/study/view/ot_2160
García–R, Juan C., Gillian C. Gibb, Steve A. Trewick. 2014. Eocene diversification of crown group rails (Aves: Gruiformes: Rallidae). PLoS ONE 9 (10): e109635	http://dx.doi.org/10.1371/journal.pone.0109635	9	ot_415	https://tree.opentreeoflife.org/curator/study/view/ot_415
